id_lokasi;kode_node;nama_lokasi;latitude;longitude;volume;jenis
60;tps_060;jalan andi makkulau;-4.001187;119.637447;54;TPS
61;tps_061;jalan andi makkulau;-3.999689;119.638134;99;TPS
62;tps_062;jalan taebe;-3.994282;119.638106;44;TPS
63;tps_063;jalan taebe;-3.994128;119.637201;54;TPS
64;tps_064;jalan patukku;-3.991026;119.636818;96;TPS
65;tps_065;jalan sumur jodoh;-3.991278;119.634166;62;TPS
66;tps_066;gang ketamba;-3.990905;119.634803;96;TPS
67;tps_067;jalan titang;-3.992685;119.634452;73;TPS
68;tps_068;gg kepiting watang soreang;-3.991558;119.633777;99;TPS
69;tps_069;gg udang watang soreang;-3.991469;119.634105;91;TPS
70;tps_070;gg bete watang soreang;-3.991546;119.634429;99;TPS
71;tps_071;gg belana watang soreang;-3.991627;119.634714;77;TPS
72;tps_072;gg beronang watang soreang;-3.991716;119.634992;94;TPS
73;tps_073;gg tenro watang soreang;-3.990886;119.635054;83;TPS
74;tps_074;jalan petta oddo;-3.991677;119.635476;69;TPS
75;tps_075;jalan petta oddo;-3.995437;119.636524;31;TPS
76;tps_076;jalan petta unga;-4.004308;119.624505;51;TPS
77;tps_077;jalan petta unga;-3.991835;119.633546;59;TPS
78;tps_078;jalan petta unga;-4.000215;119.63043;57;TPS
79;tps_079;jalan petta unga;-4.00281;119.628612;82;TPS
80;tps_080;jalan menara;-3.999899;119.630964;50;TPS
81;tps_081;jalan m arsyad;-4.009393;119.627711;91;TPS
82;tps_082;jalan pertamina;-4.004365;119.629851;52;TPS
83;tps_083;jalan menara;-4.001456;119.632744;69;TPS
84;tps_084;bukit indah;-4.00399;119.637932;84;TPS
85;tps_085;gang cepa;-3.991061;119.635332;46;TPS
86;tps_086;gang cantik;-3.991243;119.635578;96;TPS
87;tps_087;jalan tarakan;-4.002914;119.622249;67;TPS
88;tps_088;jalan sulawesi;-4.005013;119.622848;70;TPS
89;tps_089;jalan abd hamid saleh;-4.005434;119.623847;52;TPS
90;tps_090;jalan kapten h lanca ;-4.00761;119.626614;80;TPS
91;tps_091;jalan lasinrang;-4.006271;119.621947;44;TPS
92;tps_092;jalan lasinrang;-4.006625;119.624275;49;TPS
93;tps_093;jalan lasinrang;-4.006294;119.626134;38;TPS
94;tps_094;jalan kalimantan;-4.004187;119.622012;93;TPS
95;tps_095;jalan nusantara;-4.004312;119.622705;47;TPS
96;tps_096;jalan sazilia;-4.004055;119.622627;67;TPS
97;tps_097;jalan sazilia;-4.005997;119.623204;78;TPS
98;tps_098;jalan sazilia;-4.004916;119.623451;77;TPS
99;tps_099;jalan h p cara;-4.025589;119.626176;68;TPS
100;tps_100;jalan h tjambi kallado;-4.00633;119.623897;91;TPS
101;tps_101;jalan kh sanusi maggu;-4.005646;119.624844;50;TPS
102;tps_102;jalan pelita utara;-4.004813;119.626375;52;TPS
103;tps_103;jalan pelabuhan;-4.003214;119.623253;67;TPS
104;tps_104;jalan abd hamid saleh;-4.004382;119.624191;43;TPS
105;tps_105;jalan surya fatma manggu;-4.005039;119.624813;86;TPS
106;tps_106;jalan sumur jodoh;-3.99141;119.635481;69;TPS
107;tps_107;jalan kalimantan;-4.005647;119.622382;87;TPS
108;tps_108;jalan ag h baharuddin syata;-4.005377;119.624264;88;TPS
109;tps_109;jalan kalimantan;-4.004781;119.62212;76;TPS
110;tps_110;jalan nusantara;-4.005506;119.622472;90;TPS
111;tps_111;jalan pinggir laut;-4.007469;119.621517;52;TPS
112;tps_112;jalan sultan hasanuddin;-4.010255;119.621561;33;TPS
113;tps_113;jalan a mangkau;-4.008108;119.622545;52;TPS
114;tps_114;jalan andi makkasau;-4.007441;119.622702;86;TPS
115;tps_115;jalan bau massepe;-4.010247;119.622106;90;TPS
116;tps_116;jalan mesjid raya;-4.009153;119.622388;49;TPS
117;tps_117;jalan h abu bakar;-4.008625;119.622389;77;TPS
118;tps_118;jalan lapansiung;-4.007074;119.62298;37;TPS
119;tps_119;jalan baharuddin;-4.006765;119.623398;74;TPS
120;tps_120;jalan h. Badaruddin;-4.006909;119.624024;51;TPS
121;tps_121;jalan pinggir laut;-4.010357;119.621035;60;TPS
122;tps_122;jalan pinggir laut;-4.011764;119.620858;38;TPS
123;tps_123;jalan andi makkasau;-4.007687;119.623131;45;TPS
124;tps_124;jalan baso daeng patompo;-4.006799;119.622603;56;TPS
125;tps_125;jalan pinggir laut;-4.012625;119.620843;47;TPS
126;tps_126;jalan sultan hasanuddin;-4.012612;119.621491;64;TPS
127;tps_127;jalan karaeng burane;-4.012699;119.621321;92;TPS
128;tps_128;jalan bau massepe;-4.012639;119.621824;95;TPS
129;tps_129;jalan andi isa;-4.011181;119.622226;95;TPS
130;tps_130;jalan andi isa;-4.011208;119.622937;92;TPS
131;tps_131;jalan veteran;-4.012676;119.622944;81;TPS
132;tps_132;jalan veteran;-4.011802;119.622975;83;TPS
133;tps_133;jalan mesjid raya;-4.009151;119.622434;30;TPS
134;tps_134;jalan veteran;-4.011509;119.623013;36;TPS
135;tps_135;jalan veteran;-4.015501;119.622771;58;TPS
136;tps_136;jalan andi sulolipu;-4.009816;119.624348;61;TPS
137;tps_137;jalan andi sulolipu;-4.009718;119.6233;52;TPS
138;tps_138;jalan andi makkasau;-4.008055;119.626071;53;TPS
139;tps_139;jalan andi sulolipu;-4.009716;119.623288;57;TPS
140;tps_140;jalan pettana rajeng;-4.008966;119.624859;99;TPS
141;tps_141;jalan pettana rajeng;-4.009053;119.625854;57;TPS
142;tps_142;jalan pettana rajeng;-4.009145;119.626628;94;TPS
143;tps_143;jalan pelita ;-4.007523;119.62627;38;TPS
144;tps_144;jalan pelita;-4.006386;119.626444;94;TPS
145;tps_145;jalan messang bau massepe;-4.006755;119.625819;75;TPS
146;tps_146;jalan dg pawero;-4.006519;119.625272;89;TPS
147;tps_147;jalan muh djasim;-4.007148;119.624408;51;TPS
148;tps_148;jalan h badaruddin;-4.007655;119.623871;83;TPS
